unit_number,time_cycles,predicted_RUL,health_score,risk_level,likely_failure_mode,recommended_action
59,94,112.64551,90.1,Healthy,General Degradation,Continue Monitoring
47,73,112.84651,90.3,Healthy,General Degradation,Continue Monitoring
88,68,113.0944,90.5,Healthy,Pressure System Irregularity,Continue Monitoring
23,130,113.06467,90.5,Healthy,General Degradation,Continue Monitoring
71,68,115.688354,92.6,Healthy,General Degradation,Continue Monitoring
15,76,116.83962,93.5,Healthy,General Degradation,Continue Monitoring
67,71,117.674355,94.1,Healthy,General Degradation,Continue Monitoring
69,54,119.18869,95.4,Healthy,General Degradation,Continue Monitoring
44,54,119.62112,95.7,Healthy,General Degradation,Continue Monitoring
2,49,120.081085,96.1,Healthy,General Degradation,Continue Monitoring
9,55,120.07552,96.1,Healthy,General Degradation,Continue Monitoring
87,56,120.39002,96.3,Healthy,General Degradation,Continue Monitoring
78,72,120.61521,96.5,Healthy,Core Performance Instability,Continue Monitoring
25,48,120.76844,96.6,Healthy,General Degradation,Continue Monitoring
22,39,121.544815,97.2,Healthy,General Degradation,Continue Monitoring
65,71,121.658,97.3,Healthy,Pressure System Irregularity,Continue Monitoring
33,50,121.761536,97.4,Healthy,General Degradation,Continue Monitoring
85,34,121.92193,97.5,Healthy,Core Performance Instability,Continue Monitoring
39,37,122.94835,98.4,Healthy,General Degradation,Continue Monitoring
1,31,124.4114,99.5,Healthy,Pressure System Irregularity,Continue Monitoring
